level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,5,0,4,1.58,True,out_of_bounds,1.821,[],[],0.041,0.594,0.0
2,4,0,4,2.0,True,out_of_bounds,1.814,[],[],0.043,1.202,0.0
0,4,4,4,7.48,False,completed,2.0,"[2.16, 3.76, 5.76, 7.44]","[7.4, 8.88, 19.09, 11.73]",0.035,1.911,2.3369
0,3,4,4,7.48,False,completed,1.966,"[2.16, 3.76, 5.76, 7.44]","[7.41, 6.91, 21.52, 14.02]",0.034,0.644,2.3369
2,1,3,4,7.36,True,out_of_bounds,2.019,"[1.98, 3.86, 5.66]","[8.01, 14.82, 15.98]",0.036,0.466,0.375
0,1,4,4,7.48,False,completed,1.985,"[2.16, 3.76, 5.76, 7.44]","[7.34, 11.65, 21.44, 16.78]",0.035,0.628,2.3369
0,5,4,4,7.48,False,completed,2.004,"[2.16, 3.78, 5.76, 7.44]","[9.75, 6.76, 22.29, 14.06]",0.038,0.586,2.3369
1,4,4,4,7.46,False,completed,2.048,"[2.14, 3.74, 5.72, 7.42]","[9.59, 5.67, 20.06, 12.21]",0.037,0.697,2.3405
1,5,4,4,7.46,False,completed,2.075,"[2.14, 3.76, 5.74, 7.42]","[10.01, 5.14, 20.98, 15.55]",0.038,0.747,2.3405
1,2,4,4,7.5,False,completed,1.95,"[2.16, 3.76, 5.78, 7.46]","[5.57, 11.92, 21.2, 13.18]",0.039,0.754,2.3333
2,2,2,4,5.76,True,out_of_bounds,1.95,"[2.2, 3.66]","[9.25, 8.05]",0.038,0.462,0.25
0,2,4,4,7.48,False,completed,2.001,"[2.14, 3.76, 5.76, 7.44]","[5.55, 10.04, 21.23, 12.59]",0.037,1.531,2.3369
1,3,4,4,7.5,False,completed,2.036,"[2.18, 3.8, 5.8, 7.46]","[9.61, 5.15, 21.75, 15.29]",0.034,0.222,2.3333
1,1,4,4,7.46,False,completed,2.019,"[2.12, 3.74, 5.74, 7.42]","[7.53, 10.12, 21.01, 15.43]",0.045,0.581,2.3405
3,1,1,4,2.42,True,out_of_bounds,4.196,[1.16],[10.72],0.089,0.338,0.125
2,3,3,4,7.32,True,out_of_bounds,2.036,"[2.1, 3.82, 5.76]","[5.37, 16.31, 20.92]",0.044,0.927,0.375
3,3,0,4,3.76,True,out_of_bounds,4.592,[],[],0.02,0.052,0.0
3,2,0,4,4.78,True,out_of_bounds,4.873,[],[],0.021,0.048,0.0
3,4,0,4,4.1,True,out_of_bounds,2.613,[],[],0.021,0.048,0.0
3,5,0,4,4.6,True,out_of_bounds,1.85,[],[],0.021,0.045,0.0
