level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
0,2,3,4,7.24,True,out_of_bounds,1.514,"[2.54, 4.28, 6.48]","[3.92, 5.93, 20.03]",0.033,0.52,0.375
0,1,3,4,7.24,True,out_of_bounds,1.509,"[2.56, 4.28, 6.46]","[4.36, 7.65, 16.48]",0.034,0.458,0.375
0,5,3,4,7.24,True,out_of_bounds,1.521,"[2.54, 4.28, 6.48]","[5.09, 8.86, 21.04]",0.033,0.603,0.375
1,2,3,4,7.26,True,out_of_bounds,1.506,"[2.56, 4.3, 6.5]","[5.89, 7.01, 19.86]",0.034,0.75,0.375
1,4,3,4,7.22,True,out_of_bounds,1.49,"[2.52, 4.24, 6.44]","[3.4, 7.55, 22.07]",0.031,0.745,0.375
1,1,3,4,7.2,True,out_of_bounds,1.5,"[2.52, 4.24, 6.44]","[1.68, 6.95, 16.99]",0.031,0.275,0.375
0,4,3,4,7.24,True,out_of_bounds,1.501,"[2.56, 4.28, 6.48]","[4.71, 9.34, 21.08]",0.036,0.875,0.375
2,4,0,4,2.42,True,out_of_bounds,1.49,[],[],0.031,0.292,0.0
0,3,3,4,7.24,True,out_of_bounds,1.512,"[2.54, 4.28, 6.48]","[2.85, 6.48, 18.48]",0.033,0.313,0.375
2,2,2,4,6.5,True,out_of_bounds,1.506,"[2.62, 4.16]","[6.34, 7.56]",0.033,0.405,0.25
1,3,3,4,7.3,True,out_of_bounds,1.516,"[2.6, 4.32, 6.54]","[3.17, 6.2, 19.55]",0.032,0.697,0.375
1,5,3,4,7.22,True,out_of_bounds,1.51,"[2.52, 4.26, 6.44]","[4.42, 6.95, 20.14]",0.03,0.295,0.375
2,5,3,4,7.22,True,out_of_bounds,1.51,"[2.64, 4.42, 6.46]","[6.98, 19.08, 17.91]",0.034,0.718,0.375
2,1,3,4,7.28,True,out_of_bounds,1.5,"[2.38, 4.38, 6.34]","[10.72, 7.59, 8.75]",0.033,0.339,0.375
3,1,1,4,4.54,True,out_of_bounds,1.299,[1.96],[6.36],0.054,0.277,0.125
2,3,3,4,8.18,True,out_of_bounds,1.516,"[2.52, 4.36, 6.5]","[11.64, 16.31, 17.95]",0.035,0.197,0.375
3,4,0,4,30.0,False,timeout,1.291,[],[],0.018,0.039,0.0
3,2,0,4,30.0,False,timeout,1.305,[],[],0.018,0.037,0.0
3,5,0,4,30.0,False,timeout,1.321,[],[],0.018,0.038,0.0
3,3,0,4,30.0,False,timeout,1.321,[],[],0.017,0.036,0.0
