level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
0,5,4,4,6.28,False,completed,2.569,"[1.68, 2.98, 5.06, 6.24]","[12.55, 0.52, 19.96, 7.27]",0.058,0.908,2.5924
0,3,4,4,6.32,False,completed,2.58,"[1.68, 3.0, 5.1, 6.28]","[13.03, 2.1, 19.18, 6.72]",0.056,0.863,2.5823
0,4,4,4,6.26,False,completed,2.653,"[1.68, 2.98, 5.06, 6.22]","[13.17, 1.49, 19.38, 6.86]",0.054,0.944,2.5974
2,2,2,4,5.3,True,out_of_bounds,2.567,"[1.68, 3.18]","[10.98, 1.45]",0.041,0.44,0.25
2,5,3,4,5.66,True,out_of_bounds,2.014,"[1.78, 3.14, 5.14]","[14.09, 8.15, 19.05]",0.048,0.917,0.375
2,4,2,4,5.06,True,out_of_bounds,1.944,"[1.66, 3.04]","[6.55, 4.13]",0.049,1.082,0.25
2,1,2,4,3.76,True,out_of_bounds,2.099,"[1.56, 3.06]","[27.82, 11.1]",0.047,1.028,0.25
0,2,4,4,6.3,False,completed,2.585,"[1.66, 2.98, 5.06, 6.26]","[12.17, 2.4, 21.53, 9.43]",0.051,0.67,2.5873
0,1,4,4,6.32,False,completed,2.507,"[1.68, 2.98, 5.08, 6.28]","[14.29, 1.19, 21.15, 9.19]",0.05,0.826,2.5823
1,2,4,4,6.24,False,completed,2.645,"[1.64, 2.94, 5.02, 6.2]","[9.49, 2.43, 20.73, 4.52]",0.054,0.897,2.6026
2,3,4,4,6.36,False,completed,2.538,"[1.7, 3.12, 5.18, 6.32]","[27.84, 13.05, 20.44, 8.05]",0.05,0.715,2.5723
1,4,4,4,6.34,False,completed,2.541,"[1.68, 3.0, 5.1, 6.3]","[15.28, 1.97, 19.64, 13.88]",0.047,0.661,2.5773
1,1,4,4,6.3,False,completed,2.507,"[1.66, 2.98, 5.06, 6.26]","[13.17, 1.03, 20.09, 9.02]",0.039,0.809,2.5873
1,3,4,4,6.46,False,completed,2.472,"[1.76, 3.1, 5.22, 6.42]","[16.05, 1.08, 20.71, 13.56]",0.051,0.681,2.548
1,5,4,4,6.36,False,completed,2.477,"[1.7, 3.04, 5.12, 6.32]","[13.1, 1.26, 18.87, 10.81]",0.055,0.69,2.5723
3,1,1,4,30.0,False,timeout,2.34,[0.78],[13.01],0.022,0.212,0.25
3,4,0,4,2.2,True,out_of_bounds,4.002,[],[],0.022,0.062,0.0
3,5,0,4,2.58,True,out_of_bounds,3.29,[],[],0.02,0.055,0.0
3,3,0,4,30.0,False,timeout,1.969,[],[],0.017,0.043,0.0
3,2,0,4,30.0,False,timeout,2.212,[],[],0.017,0.046,0.0
