level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,5,0,4,2.28,True,out_of_bounds,1.367,[],[],0.016,0.067,0.0
2,4,0,4,2.82,True,out_of_bounds,1.29,[],[],0.023,0.704,0.0
0,5,3,4,8.68,True,out_of_bounds,1.684,"[2.92, 5.06, 7.36]","[3.2, 9.79, 18.5]",0.024,0.277,0.375
0,3,3,4,8.68,True,out_of_bounds,1.683,"[2.92, 5.06, 7.34]","[1.71, 7.81, 14.59]",0.024,0.143,0.375
0,2,3,4,8.68,True,out_of_bounds,1.645,"[2.92, 5.06, 7.34]","[0.85, 10.32, 22.91]",0.024,0.251,0.375
0,4,3,4,8.66,True,out_of_bounds,1.666,"[2.92, 5.06, 7.34]","[2.6, 9.9, 17.0]",0.023,0.183,0.375
0,1,3,4,8.7,True,out_of_bounds,1.652,"[2.92, 5.06, 7.34]","[1.28, 9.94, 14.68]",0.024,0.473,0.375
1,4,3,4,8.68,True,out_of_bounds,1.693,"[2.94, 5.06, 7.34]","[2.17, 7.56, 16.02]",0.025,0.533,0.375
1,3,3,4,8.7,True,out_of_bounds,1.724,"[2.92, 5.06, 7.34]","[2.38, 7.05, 15.97]",0.024,0.549,0.375
2,1,1,4,5.2,True,out_of_bounds,1.346,[2.8],[7.91],0.024,0.171,0.125
1,1,3,4,8.7,True,out_of_bounds,1.651,"[2.92, 5.06, 7.34]","[1.76, 9.36, 15.07]",0.026,0.729,0.375
2,2,2,4,7.34,True,out_of_bounds,1.627,"[2.96, 4.94]","[6.18, 9.91]",0.024,0.469,0.25
1,2,3,4,8.68,True,out_of_bounds,1.627,"[2.92, 5.06, 7.36]","[0.6, 9.65, 23.03]",0.025,0.722,0.375
1,5,3,4,8.7,True,out_of_bounds,1.706,"[2.94, 5.04, 7.34]","[3.58, 9.26, 16.09]",0.025,0.251,0.375
3,1,1,4,5.7,True,out_of_bounds,1.263,[1.36],[15.21],0.029,0.16,0.125
2,3,3,4,9.92,True,out_of_bounds,1.724,"[2.86, 5.08, 7.28]","[6.36, 18.14, 14.99]",0.028,0.878,0.375
3,2,0,4,30.0,False,timeout,1.253,[],[],0.011,0.027,0.0
3,3,0,4,30.0,False,timeout,1.292,[],[],0.011,0.027,0.0
3,5,0,4,30.0,False,timeout,1.302,[],[],0.011,0.028,0.0
3,4,0,4,30.0,False,timeout,1.269,[],[],0.011,0.025,0.0
