level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,5,0,4,1.66,True,out_of_bounds,1.552,[],[],0.043,1.579,0.0
2,4,0,4,2.14,True,out_of_bounds,1.566,[],[],0.052,0.446,0.0
0,2,4,4,8.08,False,completed,1.677,"[2.28, 4.0, 6.2, 8.04]","[6.15, 8.68, 22.06, 19.53]",0.051,0.912,2.2376
0,3,4,4,8.08,False,completed,1.699,"[2.3, 4.0, 6.2, 8.04]","[6.04, 10.23, 21.78, 20.06]",0.048,0.862,2.2376
0,5,4,4,8.08,False,completed,1.664,"[2.3, 4.02, 6.2, 8.04]","[6.9, 6.92, 20.31, 16.09]",0.049,0.609,2.2376
1,5,4,4,8.06,False,completed,1.691,"[2.28, 4.02, 6.18, 8.02]","[7.06, 6.44, 20.8, 16.12]",0.049,0.737,2.2407
0,4,4,4,8.08,False,completed,1.694,"[2.3, 4.0, 6.2, 8.04]","[6.85, 6.75, 21.44, 16.91]",0.053,0.595,2.2376
2,2,2,4,6.22,True,out_of_bounds,1.677,"[2.34, 3.9]","[9.08, 9.73]",0.044,0.389,0.25
1,2,4,4,8.1,False,completed,1.677,"[2.3, 4.02, 6.22, 8.06]","[5.58, 8.58, 21.6, 19.26]",0.05,0.645,2.2346
1,4,4,4,8.06,False,completed,1.722,"[2.26, 3.98, 6.18, 8.02]","[7.35, 5.19, 22.62, 14.86]",0.049,0.31,2.2407
0,1,4,4,8.08,False,completed,1.674,"[2.3, 4.0, 6.2, 8.04]","[6.39, 7.17, 20.17, 15.14]",0.049,0.76,2.2376
3,1,1,4,4.64,True,out_of_bounds,1.605,[1.14],[16.66],0.045,0.465,0.125
1,3,4,4,8.1,False,completed,1.722,"[2.32, 4.06, 6.24, 8.06]","[6.07, 6.71, 21.97, 20.11]",0.048,0.709,2.2346
1,1,4,4,8.06,False,completed,1.694,"[2.26, 3.98, 6.16, 8.02]","[4.55, 8.75, 20.97, 14.89]",0.051,0.542,2.2407
2,1,3,4,7.94,True,out_of_bounds,1.694,"[2.12, 4.1, 6.1]","[8.03, 13.68, 15.36]",0.075,0.542,0.375
2,3,3,4,7.9,True,out_of_bounds,1.722,"[2.24, 4.08, 6.2]","[6.43, 18.25, 21.12]",0.082,0.619,0.375
3,2,0,4,30.0,False,timeout,1.473,[],[],0.026,0.057,0.0
3,3,0,4,30.0,False,timeout,1.48,[],[],0.026,0.055,0.0
3,5,0,4,30.0,False,timeout,1.518,[],[],0.026,0.057,0.0
3,4,0,4,30.0,False,timeout,1.47,[],[],0.026,0.056,0.0
