level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,2,1,4,1.8,True,out_of_bounds,1.821,[1.76],[19.9],0.024,0.106,0.125
2,1,0,4,1.58,True,out_of_bounds,1.817,[],[],0.025,0.105,0.0
0,3,2,4,4.42,True,out_of_bounds,2.062,"[1.72, 2.82]","[18.03, 0.49]",0.027,0.466,0.25
1,4,2,4,4.4,True,out_of_bounds,2.083,"[1.7, 2.8]","[17.84, 1.44]",0.026,0.175,0.25
0,2,2,4,4.42,True,out_of_bounds,2.017,"[1.72, 2.82]","[16.44, 0.83]",0.026,0.083,0.25
1,1,2,4,4.4,True,out_of_bounds,2.084,"[1.7, 2.8]","[18.45, 0.66]",0.026,0.115,0.25
2,4,2,4,4.38,True,out_of_bounds,2.083,"[1.68, 2.84]","[10.32, 2.47]",0.024,0.182,0.25
2,5,0,4,1.78,True,out_of_bounds,1.841,[],[],0.026,0.455,0.0
1,2,2,4,4.44,True,out_of_bounds,1.989,"[1.74, 2.82]","[16.62, 1.3]",0.027,0.712,0.25
0,4,2,4,4.42,True,out_of_bounds,2.046,"[1.72, 2.82]","[16.82, 1.49]",0.027,0.771,0.25
0,5,2,4,4.42,True,out_of_bounds,2.064,"[1.72, 2.82]","[16.95, 1.0]",0.027,0.722,0.25
1,5,2,4,4.4,True,out_of_bounds,2.078,"[1.7, 2.8]","[18.05, 0.9]",0.028,0.523,0.25
0,1,2,4,4.42,True,out_of_bounds,2.043,"[1.72, 2.82]","[17.66, 0.33]",0.028,0.104,0.25
1,3,2,4,4.46,True,out_of_bounds,2.091,"[1.76, 2.88]","[18.44, 1.59]",0.027,0.369,0.25
2,3,3,4,5.7,True,out_of_bounds,2.091,"[1.7, 2.88, 4.46]","[27.44, 10.19, 19.22]",0.027,0.242,0.375
3,1,1,4,2.86,True,out_of_bounds,1.977,[1.22],[16.02],0.062,0.248,0.125
3,2,0,4,30.0,False,timeout,2.028,[],[],0.011,0.03,0.0
3,3,0,4,30.0,False,timeout,2.062,[],[],0.011,0.029,0.0
3,4,0,4,30.0,False,timeout,2.136,[],[],0.011,0.028,0.0
3,5,0,4,30.0,False,timeout,2.174,[],[],0.011,0.028,0.0
