level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,4,0,4,2.16,True,out_of_bounds,1.621,[],[],0.034,0.57,0.0
1,3,4,4,8.1,False,completed,1.769,"[2.32, 4.06, 6.24, 8.06]","[2.57, 7.75, 16.82, 12.84]",0.032,0.505,2.2346
2,1,2,4,5.06,True,out_of_bounds,1.764,"[2.14, 4.12]","[9.95, 11.66]",0.032,0.989,0.25
0,2,4,4,8.06,False,completed,1.713,"[2.28, 4.02, 6.2, 8.02]","[1.48, 10.06, 17.92, 13.38]",0.037,0.206,2.2407
0,5,4,4,8.06,False,completed,1.727,"[2.3, 4.04, 6.2, 8.02]","[2.69, 8.74, 15.96, 10.32]",0.031,0.801,2.2407
0,1,4,4,8.06,False,completed,1.755,"[2.3, 4.02, 6.2, 8.02]","[1.54, 8.28, 16.11, 9.78]",0.033,1.046,2.2407
1,1,4,4,8.04,False,completed,1.764,"[2.26, 3.98, 6.16, 8.0]","[1.48, 9.79, 16.39, 9.78]",0.031,0.436,2.2438
0,3,4,4,8.06,False,completed,1.736,"[2.3, 4.02, 6.2, 8.02]","[1.99, 11.91, 17.34, 13.44]",0.031,0.745,2.2407
1,2,4,4,8.08,False,completed,1.689,"[2.3, 4.04, 6.22, 8.04]","[1.36, 9.79, 17.86, 13.71]",0.031,0.235,2.2376
1,4,4,4,8.04,False,completed,1.813,"[2.26, 3.98, 6.18, 8.0]","[2.09, 6.36, 18.37, 9.73]",0.032,0.254,2.2438
3,1,1,4,4.62,True,out_of_bounds,1.598,[1.16],[15.96],0.033,0.29,0.125
0,4,4,4,8.08,False,completed,1.763,"[2.3, 4.0, 6.2, 8.04]","[1.93, 8.12, 17.11, 10.42]",0.033,0.835,2.2376
2,2,2,4,6.22,True,out_of_bounds,1.689,"[2.34, 3.9]","[6.94, 11.55]",0.031,0.229,0.25
1,5,4,4,8.04,False,completed,1.751,"[2.28, 4.02, 6.18, 8.0]","[2.85, 7.06, 15.54, 10.67]",0.034,0.497,2.2438
2,3,2,4,5.3,True,out_of_bounds,1.769,"[2.24, 4.08]","[7.2, 18.7]",0.035,0.167,0.25
2,5,3,4,7.06,True,out_of_bounds,1.751,"[2.4, 4.16, 6.2]","[5.51, 7.93, 14.15]",0.034,0.23,0.375
3,2,0,4,30.0,False,timeout,1.596,[],[],0.018,0.038,0.0
3,4,0,4,30.0,False,timeout,1.563,[],[],0.018,0.04,0.0
3,5,0,4,30.0,False,timeout,1.611,[],[],0.019,0.04,0.0
3,3,0,4,30.0,False,timeout,1.58,[],[],0.018,0.04,0.0
