level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,5,0,4,1.58,True,out_of_bounds,1.853,[],[],0.029,0.17,0.0
2,4,0,4,2.0,True,out_of_bounds,1.808,[],[],0.033,0.192,0.0
2,1,2,4,5.36,True,out_of_bounds,1.91,"[1.98, 4.36]","[9.79, 8.67]",0.032,0.603,0.25
0,5,3,4,7.2,True,out_of_bounds,1.894,"[2.16, 4.28, 6.24]","[2.94, 9.63, 20.18]",0.03,0.46,0.375
1,5,3,4,7.24,True,out_of_bounds,1.935,"[2.14, 4.26, 6.24]","[2.58, 8.27, 21.07]",0.032,0.783,0.375
2,2,2,4,6.26,True,out_of_bounds,1.907,"[2.2, 4.16]","[5.92, 9.37]",0.029,0.173,0.25
0,1,3,4,7.22,True,out_of_bounds,1.896,"[2.16, 4.26, 6.26]","[1.01, 9.18, 20.19]",0.034,0.667,0.375
0,4,3,4,7.22,True,out_of_bounds,1.926,"[2.16, 4.26, 6.26]","[0.25, 9.54, 21.68]",0.034,0.482,0.375
1,4,3,4,7.24,True,out_of_bounds,1.97,"[2.14, 4.24, 6.24]","[2.14, 9.26, 22.53]",0.031,0.546,0.375
0,3,3,4,7.22,True,out_of_bounds,1.931,"[2.16, 4.26, 6.26]","[0.57, 7.17, 21.98]",0.034,0.493,0.375
1,1,3,4,7.22,True,out_of_bounds,1.91,"[2.12, 4.24, 6.22]","[0.27, 8.55, 20.31]",0.035,0.231,0.375
1,2,3,4,7.22,True,out_of_bounds,1.907,"[2.16, 4.28, 6.28]","[1.38, 7.99, 21.62]",0.034,0.514,0.375
0,2,3,4,7.2,True,out_of_bounds,1.914,"[2.14, 4.26, 6.26]","[1.62, 7.83, 21.71]",0.033,0.546,0.375
1,3,3,4,7.32,True,out_of_bounds,1.971,"[2.18, 4.3, 6.3]","[2.68, 7.6, 21.8]",0.033,0.289,0.375
3,1,0,4,1.16,True,out_of_bounds,2.022,[],[],0.074,0.207,0.0
2,3,3,4,8.14,True,out_of_bounds,1.971,"[2.1, 4.32, 6.26]","[7.39, 18.05, 21.46]",0.044,0.966,0.375
3,2,0,4,1.62,True,out_of_bounds,1.742,[],[],0.016,0.045,0.0
3,3,0,4,5.7,True,out_of_bounds,4.038,[],[],0.017,0.044,0.0
3,4,0,4,7.3,True,out_of_bounds,4.319,[],[],0.017,0.046,0.0
3,5,0,4,6.34,True,out_of_bounds,4.487,[],[],0.017,0.047,0.0
