level,seed,gates_passed,n_gates,lap_time,crashed,crash_reason,max_velocity,gate_times,approach_angles,loop_latency_p50,loop_latency_p99,rollout_score
2,4,0,4,2.0,True,out_of_bounds,1.802,[],[],0.033,0.115,0.0
2,5,0,4,1.58,True,out_of_bounds,1.844,[],[],0.039,1.043,0.0
0,2,4,4,7.48,False,completed,2.001,"[2.16, 3.76, 5.76, 7.44]","[5.6, 10.04, 21.23, 12.73]",0.04,1.07,2.3369
0,5,4,4,7.48,False,completed,2.004,"[2.16, 3.78, 5.76, 7.44]","[9.37, 6.77, 22.29, 14.22]",0.04,0.754,2.3369
3,1,0,4,1.16,True,out_of_bounds,2.025,[],[],0.04,0.189,0.0
2,2,2,4,5.76,True,out_of_bounds,1.949,"[2.2, 3.66]","[9.05, 8.04]",0.04,0.365,0.25
0,3,4,4,7.48,False,completed,1.966,"[2.16, 3.76, 5.76, 7.44]","[7.04, 6.91, 21.52, 14.16]",0.042,1.241,2.3369
1,2,4,4,7.5,False,completed,1.949,"[2.16, 3.76, 5.78, 7.46]","[5.21, 11.93, 21.2, 13.32]",0.038,0.894,2.3333
2,1,3,4,7.36,True,out_of_bounds,2.021,"[1.98, 3.86, 5.66]","[8.64, 14.84, 15.99]",0.036,0.585,0.375
1,3,4,4,7.5,False,completed,2.036,"[2.18, 3.8, 5.8, 7.46]","[9.26, 5.14, 21.75, 15.44]",0.039,0.536,2.3333
1,5,4,4,7.46,False,completed,2.077,"[2.14, 3.76, 5.74, 7.42]","[9.28, 5.12, 20.98, 15.71]",0.038,0.297,2.3405
0,4,4,4,7.48,False,completed,2.0,"[2.16, 3.76, 5.76, 7.44]","[6.99, 8.88, 19.09, 11.87]",0.039,0.58,2.3369
1,4,4,4,7.46,False,completed,2.05,"[2.14, 3.74, 5.72, 7.42]","[8.99, 5.65, 20.07, 12.36]",0.04,0.653,2.3405
0,1,4,4,7.48,False,completed,1.986,"[2.16, 3.76, 5.76, 7.44]","[6.94, 11.65, 21.44, 16.95]",0.041,0.497,2.3369
1,1,4,4,7.46,False,completed,2.021,"[2.12, 3.74, 5.74, 7.42]","[6.89, 10.11, 21.01, 15.59]",0.041,0.464,2.3405
2,3,3,4,7.32,True,out_of_bounds,2.036,"[2.1, 3.82, 5.76]","[5.59, 16.3, 20.92]",0.038,0.334,0.375
3,2,0,4,2.62,True,out_of_bounds,3.178,[],[],0.02,0.051,0.0
3,3,0,4,2.86,True,out_of_bounds,1.957,[],[],0.02,0.046,0.0
3,4,0,4,5.74,True,out_of_bounds,3.346,[],[],0.022,0.065,0.0
3,5,0,4,5.36,True,out_of_bounds,4.178,[],[],0.021,0.062,0.0
